date,home_team,away_team,home_team_score,away_team_score,winner
1993-09-08,England,Poland,3,0,England
1993-10-13,Netherlands,England,2,0,Netherlands
1993-10-13,Portugal,Switzerland,1,0,Portugal
1993-11-17,Argentina,Australia,1,0,Argentina
1993-11-17,Poland,Netherlands,1,3,Netherlands
1994-03-23,Brazil,Argentina,2,0,Brazil
1994-03-23,Spain,Croatia,0,2,Croatia
1994-04-20,Argentina,Morocco,3,1,Argentina
1994-05-26,Australia,France,0,1,France
1994-05-29,Japan,France,1,4,France
1994-06-29,Morocco,Netherlands,1,2,Netherlands
1994-07-04,USA,Brazil,0,1,Brazil
1994-07-09,Netherlands,Brazil,2,3,Brazil
1994-09-07,England,USA,2,0,England
1995-01-08,Japan,Argentina,1,5,Argentina
1995-01-18,Netherlands,France,0,1,France
1995-02-22,Netherlands,Portugal,0,1,Portugal
1995-03-01,Morocco,Senegal,2,0,Morocco
1995-06-03,England,Japan,2,1,England
1995-06-06,Brazil,Japan,3,0,Brazil
1995-06-11,England,Brazil,1,3,Brazil
1995-06-30,Argentina,Australia,2,0,Argentina
1995-07-20,USA,Brazil,0,1,Brazil
1995-08-09,Japan,Brazil,1,5,Brazil
1995-08-12,Korea Republic,Brazil,0,1,Brazil
1995-11-08,Argentina,Brazil,0,1,Brazil
1995-11-15,England,Switzerland,3,1,England
1996-01-18,USA,Brazil,0,1,Brazil
1996-02-28,Croatia,Poland,2,1,Croatia
1996-03-13,Croatia,Korea Republic,3,0,Croatia
1996-06-13,Switzerland,Netherlands,0,2,Netherlands
1996-06-18,England,Netherlands,4,1,England
1996-06-19,Croatia,Portugal,0,3,Portugal
1996-10-09,England,Poland,2,1,England
1997-01-22,Portugal,France,0,2,France
1997-02-26,Brazil,Poland,4,2,Brazil
1997-02-26,France,Netherlands,2,1,France
1997-05-31,Poland,England,0,2,England
1997-06-07,France,England,0,1,England
1997-06-10,England,Brazil,0,1,Brazil
1997-07-27,Morocco,Senegal,3,0,Morocco
1997-08-10,Korea Republic,Brazil,1,2,Brazil
1997-08-13,Japan,Brazil,0,3,Brazil
1997-10-09,Brazil,Morocco,2,0,Brazil
1997-12-21,Brazil,Australia,6,0,Brazil
1998-01-28,France,Spain,1,0,France
1998-02-21,USA,Netherlands,0,2,Netherlands
1998-04-22,Croatia,Poland,4,1,Croatia
1998-04-22,England,Portugal,3,0,England
1998-04-29,Brazil,Argentina,0,1,Argentina
1998-05-27,Morocco,England,0,1,England
1998-06-06,Croatia,Australia,7,0,Croatia
1998-06-14,Argentina,Japan,1,0,Argentina
1998-06-16,Brazil,Morocco,3,0,Brazil
1998-06-20,Japan,Croatia,0,1,Croatia
1998-06-20,Netherlands,Korea Republic,5,0,Netherlands
1998-06-26,Argentina,Croatia,1,0,Argentina
1998-07-04,Netherlands,Argentina,2,1,Netherlands
1998-07-08,France,Croatia,2,1,France
1998-07-11,Netherlands,Croatia,1,2,Croatia
1998-07-12,France,Brazil,3,0,France
1998-09-02,Morocco,Senegal,2,0,Morocco
1999-01-20,France,Morocco,1,0,France
1999-02-10,England,France,0,2,France
1999-03-27,England,Poland,3,1,England
1999-03-31,Japan,Brazil,0,2,Brazil
1999-04-28,Netherlands,Morocco,1,2,Morocco
1999-06-08,Brazil,Netherlands,3,1,Brazil
1999-06-16,Brazil,Poland,2,0,Brazil
1999-07-11,Brazil,Argentina,2,1,Brazil
1999-07-28,Brazil,USA,1,0,Brazil
1999-09-04,Argentina,Brazil,2,0,Argentina
1999-09-07,Brazil,Argentina,4,2,Brazil
1999-11-13,France,Croatia,3,0,France
1999-11-17,Morocco,USA,2,1,Morocco
1999-11-17,Spain,Argentina,0,2,Argentina
2000-02-23,France,Poland,1,0,France
2000-05-28,Croatia,France,0,2,France
2000-06-04,Netherlands,Poland,3,1,Netherlands
2000-06-06,Morocco,France,1,5,France
2000-06-12,Portugal,England,3,2,Portugal
2000-06-21,Netherlands,France,3,2,Netherlands
2000-06-25,Spain,France,1,2,France
2000-06-28,France,Portugal,2,1,France
2000-07-26,Brazil,Argentina,3,1,Brazil
2000-10-11,Netherlands,Portugal,0,2,Portugal
2000-11-15,Spain,Netherlands,1,2,Netherlands
2001-02-28,England,Spain,3,0,England
2001-03-03,USA,Brazil,1,2,Brazil
2001-03-24,France,Japan,5,0,France
2001-04-25,France,Portugal,4,0,France
2001-05-30,Korea Republic,France,0,5,France
2001-06-07,France,Brazil,2,1,France
2001-06-10,Japan,France,0,1,France
2001-08-15,England,Netherlands,0,2,Netherlands
2001-09-05,Argentina,Brazil,2,1,Argentina
2002-03-27,Netherlands,Spain,1,0,Netherlands
2002-05-19,USA,Netherlands,0,2,Netherlands
2002-05-26,Korea Republic,France,2,3,France
2002-06-07,Argentina,England,0,1,England
2002-06-10,Portugal,Poland,4,0,Portugal
2002-06-21,England,Brazil,1,2,Brazil
2002-11-20,Japan,Argentina,0,2,Argentina
2002-11-20,Korea Republic,Brazil,2,3,Brazil
2003-02-08,USA,Argentina,0,1,Argentina
2003-02-12,Morocco,Senegal,1,0,Morocco
2003-02-12,Netherlands,Argentina,1,0,Netherlands
2003-03-29,Portugal,Brazil,2,1,Portugal
2003-06-08,Japan,Argentina,1,4,Argentina
2003-06-11,Korea Republic,Argentina,0,1,Argentina
2003-06-20,France,Japan,2,1,France
2003-06-21,Brazil,USA,1,0,Brazil
2003-07-23,USA,Brazil,1,2,Brazil
2003-08-20,England,Croatia,3,1,England
2003-08-20,Switzerland,France,0,2,France
2004-02-18,Morocco,Switzerland,2,1,Morocco
2004-02-18,Netherlands,USA,1,0,Netherlands
2004-04-28,Morocco,Argentina,0,1,Argentina
2004-06-02,Brazil,Argentina,3,1,Brazil
2004-06-13,France,England,2,1,France
